city,permit_id,issue_date,full_address,borough_area,zip_code,project_description,estimated_cost,contractor_name,contractor_license,applicant_name,owner_name,architect_name,license_status,business_address,business_phone,data_source,scraped_at,work_type,block,lot,bin
Chicago,101066112,2025-09-22,203 N MAPLEWOOD AVE,28,N/A,"DDS 2019 CBC. NEW CONSTRUCTION, FULL BUILDING PERMIT FOR 1 STORY, INDUSTRIAL WAREHOUSE. 34,734 SF. STEEL STRUCTURAL SYSTEM WITH CONCRETE SHALLOW FOUNDATION, METAL DECK ROOF AND PRECAST PANEL WALL SYSTEM AS PER PLANS. 21 OFF-STREET PARKING SPACES AND 1 PRIMARY OFF-STREET LOADING SPACE. OCCUPANCY GROUP S-1. TYPE IIB CONSTRUCTION.",3600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chicago Open Data (Real Data),2025-09-25 11:11:26,nan,,,
Chicago,101067451,2025-09-22,750 W NORTH AVE,7,N/A,"DDS 2019 CBC: ERECT 5 STORY MIXED USE BUILDING WITH 48 DWELLING UNITS (4 EFFICIENCY), 1 RETAIL SPACE, OCCUPIABLE PUBLIC ROOFTOP DECK, 50 BICYCLE SPACES AND 15 CAR ATTACHED GARAGE WITH 0 LOADING SPACES.  (OCCUPANCY GROUP B, R2, S2, TYPE III-A CONSTRUCTION.  ALL AS PER PLANS.CONSULTANT REVIEWER: V3 COMPANIES OF IL",8000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chicago Open Data (Real Data),2025-09-25 11:11:26,nan,,,
Chicago,101074352,2025-09-22,705 W CHICAGO AVE,24,N/A,"INSTALLATION OF FOUR(4) 4500LB CAPACITY, 36-FLOOR, 700FPM, PASSENGER ELEVATORS; AND TWO(2) 3500LB CAPACITY, 36-FLOOR, 1000FPM, PASSENGER ELEVATORS, PURSUANT TO THE SCOPE OF WORK PLANS SUBMITTED.",21879000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chicago Open Data (Real Data),2025-09-25 11:11:26,nan,,,
Chicago,101066936,2025-09-22,10000 W OHARE ST,76,N/A,"DDS 2019 CBC: CAISSONS ONLY (VERTICAL PENETRATION ONLY) PERMIT FOR PROPOSED SATELLITE 1 CONCOURSE TERMINAL BUILDING AND CONNECTOR BRIDGE TO CONCOURSE C OF EXISTING TERMINAL 1 AT O'HARE INTERNATIONAL AIRPORT (CONSTRUCTION TYPE IB, OCC GROUP A-2, A-3, F-1, S-2). CDA PROJECT NO - TAP105.19-00. CONSULTANT REVIEWER: V3 COMPANIES OF IL",10000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chicago Open Data (Real Data),2025-09-25 11:11:26,nan,,,
Chicago,101074180,2025-09-19,400 N ABERDEEN ST,24,N/A,"SELF-CERT 2019 CBRC: INTERIOR ALTERATIONS TO EXISTING 4TH FLOOR OFFICE SPACE (SUITE 400) TO INCLUDE SERVER ROOM LESS THAN 150 SQ FT, NON-LOAD BEARING PARTITIONS, DOORS, CEILING, LIGHTING, INTERIOR FINISHES, AND ASSOCIATED MEP WORK AS PER PLANS.OCCUPANCY GROUP B; TYPE 1A CONSTRUCTION)",2350000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chicago Open Data (Real Data),2025-09-25 11:11:26,nan,,,
Los Angeles,LA-2025-000001,2025-09-16,753 Oak Avenue,Downtown,45662,Large retail and entertainment complex development,22147485,Apex Construction Services,LIC-550890,Development Group 15 LLC,Property Holdings 32 Inc,Design Studio 22,Good Standing,5527 Business Ave,(275) 795-4956,Los Angeles DOB (Demo Data),2025-09-25 11:11:29,,,,
Los Angeles,LA-2025-000002,2025-08-31,159 Market Street,Hollywood,68554,Mixed-use development with residential and commercial spaces,38715188,Premier Build Group,LIC-178399,Development Group 69 LLC,Property Holdings 1 Inc,Design Studio 15,Good Standing,9886 Business Ave,(358) 239-3197,Los Angeles DOB (Demo Data),2025-09-25 11:11:29,,,,
Los Angeles,LA-2025-000003,2025-09-04,123 Main Street,Santa Monica,65695,Mixed-use development with residential and commercial spaces,15472496,Skyline Construction,LIC-568443,Development Group 39 LLC,Property Holdings 43 Inc,Design Studio 6,Good Standing,5551 Business Ave,(246) 572-8137,Los Angeles DOB (Demo Data),2025-09-25 11:11:29,,,,
Los Angeles,LA-2025-000004,2025-08-28,456 Broadway,Hollywood,84668,Mixed-use development with residential and commercial spaces,17264812,Metro Building Systems,LIC-943571,Development Group 1 LLC,Property Holdings 17 Inc,Design Studio 24,Active,9668 Business Ave,(400) 994-9452,Los Angeles DOB (Demo Data),2025-09-25 11:11:29,,,,
Los Angeles,LA-2025-000005,2025-09-01,789 Park Avenue,Beverly Hills,87227,Educational facility expansion and renovation project,23200522,Urban Development Co,LIC-640685,Development Group 5 LLC,Property Holdings 33 Inc,Design Studio 20,Good Standing,5366 Business Ave,(235) 781-8587,Los Angeles DOB (Demo Data),2025-09-25 11:11:29,,,,
Los Angeles,LA-2025-000006,2025-09-04,456 Broadway,Beverly Hills,76192,Corporate headquarters building construction project,11683165,Pacific Construction Group,LIC-436011,Development Group 45 LLC,Property Holdings 26 Inc,Design Studio 17,Active,3444 Business Ave,(386) 654-3951,Los Angeles DOB (Demo Data),2025-09-25 11:11:29,,,,
Los Angeles,LA-2025-000007,2025-09-08,987 Third Street,Hollywood,11301,Corporate headquarters building construction project,48846812,Metro Building Systems,LIC-292501,Development Group 39 LLC,Property Holdings 18 Inc,Design Studio 17,Active,9220 Business Ave,(492) 766-6265,Los Angeles DOB (Demo Data),2025-09-25 11:11:29,,,,
San Francisco,201512114796,2025-09-25,340 Bryant St,6,94107,"full floor tenant improvement including non structural demo. construction of non structural partitons,, interior finsihes, doors, casework, light fixtures, plumbing fix. l/s, fs sep permit",1216200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,San Francisco Open Data (Real Data),2025-09-25 11:11:31,8,3764,061,
San Francisco,201512044157,2025-09-25,295 Bay St,3,94133,"tenant improvement of all 4 floors, including replacement of existing exterior windows with new insulated glazing. mep & life safety/sprinklers under separate permit. n/a maher ordinance",2864830,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,San Francisco Open Data (Real Data),2025-09-25 11:11:31,8,0040,017,
