city,permit_id,issue_date,full_address,borough_area,zip_code,project_description,estimated_cost,contractor_name,contractor_license,applicant_name,owner_name,architect_name,license_status,business_address,business_phone,work_type,block,lot,bin,data_source,scraped_at
New York City,B08038958-I1,2025-09-23,2131 ORIENTAL BOULEVARD,BROOKLYN,N/A,"KBCC T7  Bldg, Exterior roof repairs as per the plans filed including: Removal and replacement of the existing roof membrane, flashings, etc. (for roofs requiring additional thermal insulation pursuant to requirements of NYC ECC).",1110590,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,8760,60,3397343,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,M00915364-I1,2025-09-23,230 EAST  123 STREET,MANHATTAN,N/A,"Application filed for interior apartment renovations; lobby renovation; roof repairs; ramp repairs, as per drawings filed herewith.",8000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,1787,80,1054629,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,M00915366-I1,2025-09-23,2385 2 AVENUE,MANHATTAN,N/A,"Application filed for interior apartment renovations; lobby renovation; roof repairs; ramp repairs, as per drawings filed herewith.",8000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,1787,70,1054628,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,M01178920-S2,2025-09-23,2 LEXINGTON AVENUE,MANHATTAN,N/A,Modifications to existing Plumbing System related to Guestrooms renovation.,7998584,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Plumbing,877,18,1017990,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,M01228903-I1,2025-09-23,2385 2 AVENUE,MANHATTAN,N/A,"Application filed for window replacements at all floors 6-35, as per drawings filed herewith.",4500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,1787,70,1054628,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,M01254707-I1,2025-09-23,21 EAST   26 STREET,MANHATTAN,N/A,"Herewith filing alterations to an existing dwelling unit on the 5th and 6th floor.  General construction work, as per plans submitted.  No change to use, egress or occupancy.",1050000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,856,7504,1089338,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,M01264393-I1,2025-09-23,200 VESEY STREET,MANHATTAN,N/A,General Construction work as shown on plans,1700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,16,140,1000059,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,Q00713415-I1,2025-09-23,63-54 AUSTIN STREET,QUEENS,N/A,Filing herewith for new 2 story community facility.,29600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,3103,43,4072812,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,Q00764065-I1,2025-09-23,155-11 SANFORD AVENUE,QUEENS,N/A,"ENLARGEMENT AND CONVERSION OF EXISTING ONE FAMILY TO TWO FAMILY, OBTAIN NEW COF O",1137215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Earth Work,5328,13,4120326,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,Q00764065-I1,2025-09-23,155-11 SANFORD AVENUE,QUEENS,N/A,"ENLARGEMENT AND CONVERSION OF EXISTING ONE FAMILY TO TWO FAMILY, OBTAIN NEW COF O",1137215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Foundation,5328,13,4120326,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,Q00764065-I1,2025-09-23,155-11 SANFORD AVENUE,QUEENS,N/A,"ENLARGEMENT AND CONVERSION OF EXISTING ONE FAMILY TO TWO FAMILY, OBTAIN NEW COF O",1137215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,5328,13,4120326,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,Q00764065-I1,2025-09-23,155-11 SANFORD AVENUE,QUEENS,N/A,"ENLARGEMENT AND CONVERSION OF EXISTING ONE FAMILY TO TWO FAMILY, OBTAIN NEW COF O",1137215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mechanical Systems,5328,13,4120326,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,Q00764065-I1,2025-09-23,155-11 SANFORD AVENUE,QUEENS,N/A,"ENLARGEMENT AND CONVERSION OF EXISTING ONE FAMILY TO TWO FAMILY, OBTAIN NEW COF O",1137215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Structural,5328,13,4120326,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,Q01257064-I1,2025-09-23,66-26 METROPOLITAN AVENUE,QUEENS,N/A,"INTERIOR RENOVATION AT THE CELLAR LEVEL FOR RETAIL SPACE FOR BURLINGTON STORE. ALL AS PER PLANS FILE HEREWITH. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",2143500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,3605,1,4443103,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,S00943537-I1,2025-09-23,1077 CASTLETON AVENUE,STATEN ISLAND,N/A,"INTERIOR RENOVATION OF EXISTING BUILDING. REPLACEMENT OF  WINDOWS & DOORS & EXISTING CONVECTOR HOUSING, NEW FINISHES & LIGHT FIXTURES, RENOVATION OF LOBBY, NEW FIXTURES & FINISHES. MINOR MASONRY REPAIR & FACADE WORK. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",4344795,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,196,1,5095819,New York City Open Data (Real Data),2025-09-25 11:11:23
