job_filing_number,filing_reason,house_no,street_name,borough,block,lot,bin,work_on_floor,work_type,work_permit,estimated_job_costs,job_description,issued_date
M01228903-I1,Initial Permit,2385,2 AVENUE,MANHATTAN,1787,70,1054628,Floor Number(s) 6 through 35,General Construction,M01228903-I1-GC,4500000.0,"Application filed for window replacements at all floors 6-35, as per drawings filed herewith.",2025-09-23T00:00:00.000
M01254707-I1,Initial Permit,21,EAST   26 STREET,MANHATTAN,856,7504,1089338,"Floor Number(s) 005 through 006, Roof",General Construction,M01254707-I1-GC,1050000.0,"Herewith filing alterations to an existing dwelling unit on the 5th and 6th floor.  General construction work, as per plans submitted.  No change to use, egress or occupancy.",2025-09-23T00:00:00.000
M01264393-I1,Initial Permit,200,VESEY STREET,MANHATTAN,16,140,1000059,Floor Number(s) 25 through 25,General Construction,M01264393-I1-GC,1700000.0,General Construction work as shown on plans,2025-09-23T00:00:00.000
Q00713415-I1,Initial Permit,63-54,AUSTIN STREET,QUEENS,3103,43,4072812,"Cellar, Cellar, Cellar, Cellar, Floor Number(s) 1, Floor Number(s) 1, Floor Number(s) 1, Floor Number(s) 2, Floor Number(s) 2, Floor Number(s) 2, Floor Number(s) 2, Roof",General Construction,Q00713415-I1-GC,29600000.0,Filing herewith for new 2 story community facility.,2025-09-23T00:00:00.000
Q00764065-I1,Initial Permit,155-11,SANFORD AVENUE,QUEENS,5328,13,4120326,"Cellar, Open Space, Floor Number(s) 1, Floor Number(s) 1, Floor Number(s) 2, Attic",Earth Work,Q00764065-I1-MS,1137215.0,"ENLARGEMENT AND CONVERSION OF EXISTING ONE FAMILY TO TWO FAMILY, OBTAIN NEW COF O",2025-09-23T00:00:00.000
Q00764065-I1,Initial Permit,155-11,SANFORD AVENUE,QUEENS,5328,13,4120326,"Cellar, Open Space, Floor Number(s) 1, Floor Number(s) 1, Floor Number(s) 2, Attic",Foundation,Q00764065-I1-MS,1137215.0,"ENLARGEMENT AND CONVERSION OF EXISTING ONE FAMILY TO TWO FAMILY, OBTAIN NEW COF O",2025-09-23T00:00:00.000
Q00764065-I1,Initial Permit,155-11,SANFORD AVENUE,QUEENS,5328,13,4120326,"Cellar, Open Space, Floor Number(s) 1, Floor Number(s) 1, Floor Number(s) 2, Attic",General Construction,Q00764065-I1-MS,1137215.0,"ENLARGEMENT AND CONVERSION OF EXISTING ONE FAMILY TO TWO FAMILY, OBTAIN NEW COF O",2025-09-23T00:00:00.000
Q00764065-I1,Initial Permit,155-11,SANFORD AVENUE,QUEENS,5328,13,4120326,"Cellar, Open Space, Floor Number(s) 1, Floor Number(s) 1, Floor Number(s) 2, Attic",Mechanical Systems,Q00764065-I1-MS,1137215.0,"ENLARGEMENT AND CONVERSION OF EXISTING ONE FAMILY TO TWO FAMILY, OBTAIN NEW COF O",2025-09-23T00:00:00.000
Q00764065-I1,Initial Permit,155-11,SANFORD AVENUE,QUEENS,5328,13,4120326,"Cellar, Open Space, Floor Number(s) 1, Floor Number(s) 1, Floor Number(s) 2, Attic",Structural,Q00764065-I1-MS,1137215.0,"ENLARGEMENT AND CONVERSION OF EXISTING ONE FAMILY TO TWO FAMILY, OBTAIN NEW COF O",2025-09-23T00:00:00.000
Q01257064-I1,Initial Permit,66-26,METROPOLITAN AVENUE,QUEENS,3605,1,4443103,Cellar,General Construction,Q01257064-I1-GC,2143500.0,"INTERIOR RENOVATION AT THE CELLAR LEVEL FOR RETAIL SPACE FOR BURLINGTON STORE. ALL AS PER PLANS FILE HEREWITH. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",2025-09-23T00:00:00.000
S00943537-I1,Initial Permit,1077,CASTLETON AVENUE,STATEN ISLAND,196,1,5095819,"Cellar, Floor Number(s) 01 through 08, Roof",General Construction,S00943537-I1-GC,4344795.0,"INTERIOR RENOVATION OF EXISTING BUILDING. REPLACEMENT OF  WINDOWS & DOORS & EXISTING CONVECTOR HOUSING, NEW FINISHES & LIGHT FIXTURES, RENOVATION OF LOBBY, NEW FIXTURES & FINISHES. MINOR MASONRY REPAIR & FACADE WORK. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",2025-09-23T00:00:00.000
